"go", " 1.22.2", " andes borg frontier gaea-t5", " andes-core-24.07-1.22.2 borg-core-24.07-1.22.2 frontier-core-24.07-1.22.2 gaea-t5-core-24.10-1.22.2", " The golang compiler and build environment https://packages.spack.io/package.html?name=go" 
"googletest", " 1.14.0", " andes borg frontier gaea-t5", " andes-core-24.07-1.14.0 borg-core-24.07-1.14.0 frontier-core-24.07-1.14.0 gaea-t5-core-24.10-1.14.0", " Google test framework for C++. Also called gtest. https://packages.spack.io/package.html?name=googletest" 
"grads", " 2.2.3", " gaea-t5", " gaea-t5-core-24.10-2.2.3", " https://packages.spack.io/package.html?name=grads" 
"gridcf", " gridcf", " gaea-t5", " gaea-t5-core-24.10-gridcf", " https://packages.spack.io/package.html?name=gridcf" 
"gsl", " 2.7.1", " andes borg frontier", " andes-core-24.07-2.7.1 borg-core-24.07-2.7.1 frontier-core-24.07-2.7.1", " The GNU Scientific Library (GSL) is a numerical library for C and C++ programmers. It is free software under the GNU General Public License. The library provides a wide range of mathematical routines such as random number generators, special functions and least-squares fitting. There are over 1000 functions in total with an extensive test suite. https://packages.spack.io/package.html?name=gsl" 
"hdf5", " 1.12.1 1.14.3", " borg frontier andes gaea-t5", " borg-cpe23.12-cpu-1.12.1 frontier-cpe23.12-cpu-1.12.1 andes-sw-24.11-1.14.3 borg-cpe23.12-cpu-1.14.3 borg-cpe24.03-cpu-1.14.3 borg-cpe24.07-cpu-1.14.3 frontier-cpe23.12-cpu-1.14.3 frontier-cpe24.03-cpu-1.14.3 frontier-cpe24.07-cpu-1.14.3 gaea-t5-core-24.10-1.14.3", " HDF5 is a data model, library, and file format for storing and managing data. It supports an unlimited variety of datatypes, and is designed for flexible and efficient I/O and for high volume and complex data.  https://packages.spack.io/package.html?name=hdf5" 
"heffte", " 2.2.0 2.4.0", " borg frontier andes", " borg-cpe23.12-cpu-2.2.0 borg-cpe23.12-gpu-2.2.0 frontier-cpe23.12-cpu-2.2.0 frontier-cpe23.12-gpu-2.2.0 andes-sw-24.11-2.4.0 borg-cpe23.12-cpu-2.4.0 borg-cpe23.12-gpu-2.4.0 borg-cpe24.03-cpu-2.4.0 borg-cpe24.03-gpu-2.4.0 borg-cpe24.07-cpu-2.4.0 borg-cpe24.07-gpu-2.4.0 frontier-cpe23.12-cpu-2.4.0 frontier-cpe23.12-gpu-2.4.0 frontier-cpe24.03-cpu-2.4.0 frontier-cpe24.03-gpu-2.4.0 frontier-cpe24.07-cpu-2.4.0 frontier-cpe24.07-gpu-2.4.0", " Highly Efficient FFT for Exascale https://packages.spack.io/package.html?name=heffte" 
"hipfort", " 5.7.1 6.0.0 6.1.2", " borg frontier", " borg-cpe23.12-cpu-5.7.1 borg-cpe23.12-cpu-5.7.1 borg-cpe23.12-cpu-5.7.1 frontier-cpe23.12-cpu-5.7.1 frontier-cpe23.12-cpu-5.7.1 frontier-cpe23.12-cpu-5.7.1 borg-cpe24.03-cpu-6.0.0 borg-cpe24.03-cpu-6.0.0 frontier-cpe24.03-cpu-6.0.0 frontier-cpe24.03-cpu-6.0.0 borg-cpe24.07-cpu-6.1.2 borg-cpe24.07-cpu-6.1.2 frontier-cpe24.07-cpu-6.1.2 frontier-cpe24.07-cpu-6.1.2", " https://packages.spack.io/package.html?name=hipfort" 
"hpx", " 1.7.1 1.9.1", " borg frontier", " borg-cpe23.12-cpu-1.7.1 borg-cpe23.12-gpu-1.7.1 frontier-cpe23.12-cpu-1.7.1 frontier-cpe23.12-gpu-1.7.1 borg-cpe23.12-cpu-1.9.1 borg-cpe23.12-gpu-1.9.1 borg-cpe24.03-cpu-1.9.1 borg-cpe24.03-gpu-1.9.1 borg-cpe24.07-cpu-1.9.1 borg-cpe24.07-gpu-1.9.1 frontier-cpe23.12-cpu-1.9.1 frontier-cpe23.12-gpu-1.9.1 frontier-cpe24.03-cpu-1.9.1 frontier-cpe24.03-gpu-1.9.1 frontier-cpe24.07-cpu-1.9.1 frontier-cpe24.07-gpu-1.9.1", " C++ runtime system for parallel and distributed applications. https://packages.spack.io/package.html?name=hpx" 
"htop", " 3.2.2", " andes borg frontier gaea-t5", " andes-core-24.07-3.2.2 borg-core-24.07-3.2.2 frontier-core-24.07-3.2.2 gaea-t5-core-24.10-3.2.2", " htop is an interactive text-mode process viewer for Unix systems. https://packages.spack.io/package.html?name=htop" 
"hwloc", " 2.9.1", " andes borg frontier", " andes-core-24.07-2.9.1 borg-core-24.07-2.9.1 borg-cpe23.12-gpu-2.9.1 borg-cpe24.03-gpu-2.9.1 borg-cpe24.07-gpu-2.9.1 frontier-core-24.07-2.9.1 frontier-cpe23.12-gpu-2.9.1 frontier-cpe24.03-gpu-2.9.1 frontier-cpe24.07-gpu-2.9.1", " The Hardware Locality (hwloc) software project. https://packages.spack.io/package.html?name=hwloc" 
"hypre", " 2.24.0 2.31.0", " borg frontier andes", " borg-cpe23.12-cpu-2.24.0 frontier-cpe23.12-cpu-2.24.0 andes-sw-24.11-2.31.0 borg-cpe23.12-cpu-2.31.0 borg-cpe24.03-cpu-2.31.0 borg-cpe24.07-cpu-2.31.0 frontier-cpe23.12-cpu-2.31.0 frontier-cpe24.03-cpu-2.31.0 frontier-cpe24.07-cpu-2.31.0", " Hypre is a library of high performance preconditioners that features parallel multigrid methods for both structured and unstructured grid problems. https://packages.spack.io/package.html?name=hypre" 
"imagemagick", " 7.1.1", " borg frontier gaea-t5", " borg-core-24.07-7.1.1 frontier-core-24.07-7.1.1 gaea-t5-core-24.10-7.1.1", " ImageMagick is a software suite to create, edit, compose, or convert bitmap images. https://packages.spack.io/package.html?name=imagemagick" 
"julia", " 1.10.2", " borg frontier", " borg-core-24.07-1.10.2 frontier-core-24.07-1.10.2", " The Julia Language https://packages.spack.io/package.html?name=julia" 
"kokkos", " 3.6.00 4.3.00 kokkos", " borg frontier andes", " borg-cpe23.12-cpu-3.6.00 borg-cpe23.12-cpu-3.6.00 borg-cpe23.12-gpu-3.6.00 frontier-cpe23.12-cpu-3.6.00 frontier-cpe23.12-cpu-3.6.00 frontier-cpe23.12-gpu-3.6.00 andes-sw-24.11-4.3.00 borg-cpe23.12-cpu-4.3.00 borg-cpe23.12-gpu-4.3.00 borg-cpe24.03-cpu-4.3.00 borg-cpe24.03-gpu-4.3.00 borg-cpe24.07-cpu-4.3.00 borg-cpe24.07-gpu-4.3.00 frontier-cpe23.12-cpu-4.3.00 frontier-cpe23.12-gpu-4.3.00 frontier-cpe24.03-cpu-4.3.00 frontier-cpe24.03-gpu-4.3.00 frontier-cpe24.07-cpu-4.3.00 frontier-cpe24.07-gpu-4.3.00 borg-cpe23.12-cpu-kokkos borg-cpe23.12-cpu-kokkos borg-cpe23.12-cpu-kokkos borg-cpe24.03-cpu-kokkos borg-cpe24.07-cpu-kokkos frontier-cpe23.12-cpu-kokkos frontier-cpe23.12-cpu-kokkos frontier-cpe23.12-cpu-kokkos frontier-cpe24.03-cpu-kokkos frontier-cpe24.07-cpu-kokkos", " Kokkos implements a programming model in C++ for writing performance portable applications targeting all major HPC platforms. https://packages.spack.io/package.html?name=kokkos" 
"lammps", " 20220623.4 20230802.3", " borg frontier andes", " borg-cpe23.12-gpu-20220623.4 frontier-cpe23.12-gpu-20220623.4 andes-sw-24.11-20230802.3 borg-cpe23.12-cpu-20230802.3 borg-cpe23.12-gpu-20230802.3 borg-cpe24.03-cpu-20230802.3 borg-cpe24.03-gpu-20230802.3 borg-cpe24.07-cpu-20230802.3 borg-cpe24.07-gpu-20230802.3 frontier-cpe23.12-cpu-20230802.3 frontier-cpe23.12-gpu-20230802.3 frontier-cpe24.03-cpu-20230802.3 frontier-cpe24.03-gpu-20230802.3 frontier-cpe24.07-cpu-20230802.3 frontier-cpe24.07-gpu-20230802.3", " LAMMPS stands for Large-scale Atomic/Molecular Massively Parallel Simulator.  https://packages.spack.io/package.html?name=lammps" 
"lapackpp", " 2023.11.05", " borg frontier", " borg-cpe23.12-gpu-2023.11.05 borg-cpe24.03-gpu-2023.11.05 borg-cpe24.07-gpu-2023.11.05 frontier-cpe23.12-gpu-2023.11.05 frontier-cpe24.03-gpu-2023.11.05 frontier-cpe24.07-gpu-2023.11.05", " https://packages.spack.io/package.html?name=lapackpp" 
"libjpeg", " libjpeg", " andes borg frontier", " andes-core-24.07-libjpeg borg-core-24.07-libjpeg frontier-core-24.07-libjpeg", " https://packages.spack.io/package.html?name=libjpeg" 
"libpng", " 1.6.39", " andes borg frontier", " andes-core-24.07-1.6.39 borg-core-24.07-1.6.39 frontier-core-24.07-1.6.39", " libpng is the official PNG reference library. https://packages.spack.io/package.html?name=libpng" 
"libunwind", " 1.6.2", " andes borg frontier", " andes-sw-24.11-1.6.2 borg-cpe23.12-cpu-1.6.2 borg-cpe23.12-cpu-1.6.2 borg-cpe24.03-cpu-1.6.2 borg-cpe24.07-cpu-1.6.2 frontier-cpe23.12-cpu-1.6.2 frontier-cpe23.12-cpu-1.6.2 frontier-cpe24.03-cpu-1.6.2 frontier-cpe24.07-cpu-1.6.2", " A portable and efficient C programming interface (API) to determine the call-chain of a program. https://packages.spack.io/package.html?name=libunwind" 
"libyaml", " 0.2.5", " gaea-t5", " gaea-t5-core-24.10-0.2.5", " https://packages.spack.io/package.html?name=libyaml" 
"libzmq", " 4.3.5", " andes borg frontier gaea-t5", " andes-core-24.07-4.3.5 borg-core-24.07-4.3.5 frontier-core-24.07-4.3.5 gaea-t5-core-24.10-4.3.5", " The ZMQ networking/concurrency library and core API https://packages.spack.io/package.html?name=libzmq" 
"magma", " 2.6.2 2.8.0", " borg frontier", " borg-cpe23.12-gpu-2.6.2 frontier-cpe23.12-gpu-2.6.2 borg-cpe23.12-gpu-2.8.0 borg-cpe24.03-gpu-2.8.0 borg-cpe24.07-gpu-2.8.0 frontier-cpe23.12-gpu-2.8.0 frontier-cpe24.03-gpu-2.8.0 frontier-cpe24.07-gpu-2.8.0", " https://packages.spack.io/package.html?name=magma" 
"mercurial", " 6.6.3", " andes borg frontier gaea-t5", " andes-core-24.07-6.6.3 borg-core-24.07-6.6.3 frontier-core-24.07-6.6.3 gaea-t5-core-24.10-6.6.3", " Mercurial is a free, distributed source control management tool. https://packages.spack.io/package.html?name=mercurial" 
"metis", " 5.1.0", " andes borg frontier", " andes-sw-24.11-5.1.0 borg-cpe23.12-cpu-5.1.0 borg-cpe24.03-cpu-5.1.0 borg-cpe24.07-cpu-5.1.0 frontier-cpe23.12-cpu-5.1.0 frontier-cpe24.03-cpu-5.1.0 frontier-cpe24.07-cpu-5.1.0", " METIS is a set of serial programs for partitioning graphs, partitioning finite element meshes, and producing fill reducing orderings for sparse matrices. https://packages.spack.io/package.html?name=metis" 
"mfem", " 4.4.0 4.6.0", " borg frontier andes", " borg-cpe23.12-cpu-4.4.0 frontier-cpe23.12-cpu-4.4.0 andes-sw-24.11-4.6.0 borg-cpe23.12-cpu-4.6.0 borg-cpe24.03-cpu-4.6.0 borg-cpe24.07-cpu-4.6.0 frontier-cpe23.12-cpu-4.6.0 frontier-cpe24.03-cpu-4.6.0 frontier-cpe24.07-cpu-4.6.0", " Free, lightweight, scalable C++ library for finite element methods. https://packages.spack.io/package.html?name=mfem" 
"nag", " 7.2.7203", " gaea-t5", " gaea-t5-core-24.10-7.2.7203", " https://packages.spack.io/package.html?name=nag" 
"nano", " 7.2", " andes borg frontier gaea-t5", " andes-core-24.07-7.2 borg-core-24.07-7.2 frontier-core-24.07-7.2 gaea-t5-core-24.10-7.2", " Tiny little text editor https://packages.spack.io/package.html?name=nano" 
